                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                0.90315,                0.85288,                 1.2944,                0.64429,                0.53367,                0.55912,                0.30356,                 1.4748,                 1.3862,                 1.7901,              0.0009704,              0.0009704,              0.0009704
                     54,                0.90028,                0.84207,                 1.2869,                0.76193,                0.57143,                0.59627,                0.32773,                 1.5474,                  1.238,                 1.8632,              0.0009506,              0.0009506,              0.0009506
                     55,                0.89512,                0.83594,                   1.28,                0.68768,                0.56027,                0.55817,                0.30376,                 1.5331,                 1.3399,                  1.863,              0.0009308,              0.0009308,              0.0009308
                     56,                0.89515,                0.82891,                 1.2766,                0.73048,                0.58077,                0.59632,                0.33357,                 1.4911,                 1.2291,                 1.8241,               0.000911,               0.000911,               0.000911
                     57,                0.88121,                0.81358,                 1.2665,                0.64984,                0.57589,                0.56417,                0.31062,                 1.5279,                 1.2964,                 1.8511,              0.0008912,              0.0008912,              0.0008912
                     58,                0.89785,                0.83558,                 1.2808,                 0.6131,                 0.5558,                0.53487,                0.28995,                   1.51,                 1.4458,                 1.8123,              0.0008714,              0.0008714,              0.0008714
                     59,                0.88113,                0.80508,                 1.2748,                0.73777,                0.55264,                0.57168,                0.30913,                 1.5173,                 1.3707,                 1.8702,              0.0008516,              0.0008516,              0.0008516
                     60,                0.89377,                0.81162,                 1.2786,                0.64852,                0.56012,                0.56289,                0.29949,                 1.5611,                 1.3915,                 1.8474,              0.0008318,              0.0008318,              0.0008318
                     61,                 0.8658,                0.79199,                  1.261,                0.65195,                0.54018,                0.55966,                0.29812,                 1.5306,                 1.3545,                 1.8365,               0.000812,               0.000812,               0.000812
                     62,                0.86836,                  0.794,                 1.2678,                0.62712,                0.54434,                0.53964,                0.28224,                 1.5575,                   1.51,                  1.865,              0.0007922,              0.0007922,              0.0007922
                     63,                0.84445,                0.79454,                 1.2506,                0.69915,                0.51786,                0.55742,                0.29176,                 1.5369,                 1.3793,                 1.8586,              0.0007724,              0.0007724,              0.0007724
                     64,                0.84472,                0.78368,                 1.2484,                0.66244,                 0.5388,                0.54808,                0.28607,                 1.5367,                  1.364,                 1.8603,              0.0007526,              0.0007526,              0.0007526
                     65,                0.84299,                0.77074,                 1.2567,                0.66667,                0.53125,                0.52533,                0.28129,                 1.5319,                 1.4385,                 1.8757,              0.0007328,              0.0007328,              0.0007328
